Order_ID,Fecha,Categoria,Producto,Codigo_Producto,Canal,Region,Precio_Unitario,Costo_Unitario,Descuento,Cantidad,Ventas,Cliente_ID
41186,2023-06-22,Muebles,Archivador Metálico,810,Tienda Física,Centro,125.93,287.87,0.05,5,629.64,9217
87032,2023-11-29,Tecnología,Monitor LG,812,Tienda Física,Sur,78.58,271.75,0.2,5,392.92,2308
44311,2022-11-10,Muebles,Silla Ergonómica,956,Distribuidor,Oeste,60.41,248.03,0.0,5,302.06,3580
15526,2023-02-21,Tecnología,Teclado Mecánico,513,Distribuidor,Norte,119.82,262.28,0.2,3,359.46,4570
61931,2022-04-14,Tecnología,Laptop Dell,970,Tienda Física,Este,373.24,837.17,0.15,2,746.47,9353
87725,2022-01-05,Muebles,Mesa Reuniones,858,Mayorista,Este,71.46,204.52,0.05,5,357.3,nan
74309,2023-08-30,Muebles,Silla Ergonómica,783,Mayorista,Este,330.54,584.34,0.0,2,661.08,1199
34440,2024-11-24,Oficina,Calculadora,962,Distribuidor,Norte,15.63,33.6,0.0,5,78.15,7790
63437,2023-04-10,Muebles,Escritorio Ejecutivo,348,Mayorista,Oeste,121.4,285.15,0.05,4,485.59,5174
93045,2022-08-10,Tecnología,Laptop Dell,718,Online,Oeste,422.81,931.41,0.05,5,2114.05,nan
93549,2023-03-19,Tecnología,Laptop Dell,220,Distribuidor,Oeste,1313.56,799.04,0.2,5,6567.79,1133
45794,2024-07-09,Oficina,Calculadora,308,Online,Centro,8.09,15.19,0.0,3,24.26,4570
56506,2024-12-16,Oficina,Calculadora,592,Mayorista,Oeste,55.08,54.41,0.2,5,275.39,3831
78905,2022-11-24,Tecnología,Teclado Mecánico,525,Tienda Física,Sur,341.95,1078.46,0.0,3,1025.84,9606
89944,2024-09-14,Oficina,Carpetas,229,Distribuidor,Sur,26.22,55.58,0.1,4,104.88,8989
18893,2022-10-14,Tecnología,Mouse Logitech,266,Online,Centro,274.09,967.88,0.05,4,1096.36,8639
15259,2023-06-28,Tecnología,Teclado Mecánico,464,Distribuidor,Este,119.67,385.33,0.05,3,359.01,6365
76433,2023-08-05,Muebles,Escritorio Ejecutivo,132,Online,Oeste,134.94,253.32,0.15,4,539.74,7697
79235,2022-12-01,Tecnología,Monitor LG,528,Tienda Física,Sur,267.06,662.47,0.05,3,801.19,7840
30330,2024-04-10,Muebles,Escritorio Ejecutivo,496,Online,Este,618.89,717.23,0.0,1,618.89,3927
92560,2024-01-13,Oficina,Grapadora,880,Online,Sur,109.85,74.78,0.0,2,219.7,8078
51914,2023-07-22,Oficina,Carpetas,748,Tienda Física,Centro,12.94,19.03,0.0,2,25.89,9502
10234,2022-01-01,Oficina,Grapadora,124,Mayorista,Norte,55.7,78.01,0.2,1,55.7,5904
27358,2022-01-16,Muebles,Escritorio Ejecutivo,762,Tienda Física,Sur,222.59,465.22,0.05,2,445.18,4585
81785,2024-12-05,Muebles,Silla Ergonómica,552,Distribuidor,Centro,300.71,736.32,0.15,3,902.14,2228
97451,2024-02-02,Tecnología,Teclado Mecánico,916,Mayorista,Sur,452.72,832.66,0.2,4,1810.9,1534
88338,2023-01-24,Tecnología,Teclado Mecánico,209,Tienda Física,Este,145.32,351.07,0.0,3,435.95,4617
71857,2022-02-12,Muebles,Escritorio Ejecutivo,474,Mayorista,Sur,637.84,573.89,0.2,2,1275.68,4994
53669,2023-05-16,Tecnología,Laptop Dell,249,Distribuidor,Este,331.19,439.64,0.1,1,331.19,1664
29454,2024-11-08,Muebles,Escritorio Ejecutivo,155,Tienda Física,Centro,171.49,313.34,0.0,2,342.98,7782
48180,2024-08-23,Tecnología,Webcam HD,716,Tienda Física,Norte,347.76,488.86,0.2,2,695.51,1101
20731,2024-11-29,Tecnología,Teclado Mecánico,849,Distribuidor,Oeste,827.56,516.32,0.2,5,4137.8,7524
89747,2023-04-07,Oficina,Grapadora,724,Tienda Física,Este,42.42,75.0,0.05,3,127.26,2942
89717,2022-07-09,Muebles,Archivador Metálico,110,Distribuidor,Este,623.98,628.78,0.0,2,1247.96,2177
72431,2024-07-04,Muebles,Estantería,422,Tienda Física,Centro,612.76,659.58,0.05,4,-2451.04,8481
33866,2023-03-22,Oficina,Carpetas,620,Mayorista,Este,16.83,54.27,0.0,4,-67.33,6560
66673,2023-04-07,Tecnología,Teclado Mecánico,791,Online,Este,281.21,441.92,0.15,2,-562.42,4651
10932,2024-04-12,Tecnología,Monitor LG,360,Online,Centro,179.81,351.85,0.05,5,899.04,2101
82250,2022-07-16,Muebles,Escritorio Ejecutivo,358,Tienda Física,Sur,288.48,503.1,0.15,4,1153.9,2979
43684,2023-05-09,Oficina,Grapadora,949,Mayorista,Sur,18.78,24.3,0.2,4,75.12,8055
45025,2023-05-09,Tecnología,Webcam HD,374,Mayorista,Centro,649.8,895.34,0.1,1,649.8,6850
44518,2024-04-20,Muebles,Escritorio Ejecutivo,732,Distribuidor,Oeste,497.06,581.36,0.0,2,994.12,9959
92639,2024-02-12,Muebles,Estantería,996,Mayorista,Sur,172.31,478.75,0.2,1,172.31,7554
40167,2022-11-10,Oficina,Calculadora,222,Online,Centro,3.68,15.72,0.2,3,11.03,3754
87988,2024-07-05,Oficina,Calculadora,111,Mayorista,Este,53.58,36.42,0.2,4,214.3,7612
93281,2024-07-04,Muebles,Escritorio Ejecutivo,528,Distribuidor,Centro,234.26,284.15,0.1,3,702.79,5917
19652,2022-02-15,Muebles,Silla Ergonómica,552,Online,Sur,209.8,683.29,0.0,1,209.8,1059
46218,2022-08-28,Tecnología,Mouse Logitech,141,Online,Norte,146.69,270.21,0.0,3,440.08,7901
38739,2024-05-14,Muebles,Mesa Reuniones,416,Mayorista,Centro,537.85,641.93,0.1,5,2689.26,9387
50434,2023-03-16,Oficina,Bolígrafos,719,Tienda Física,Centro,59.18,94.01,0.05,1,59.18,9418
81867,2023-08-26,Oficina,Bolígrafos,697,Mayorista,Este,44.84,69.48,0.0,1,44.84,5210
28887,2024-04-23,Tecnología,Monitor LG,903,Distribuidor,Este,749.07,950.74,0.05,3,2247.21,1653
50980,2023-06-11,Muebles,Mesa Reuniones,388,Online,Este,207.33,260.76,0.15,2,414.66,1123
16380,2022-10-30,Muebles,Silla Ergonómica,276,Mayorista,Oeste,112.44,282.84,0.05,4,449.74,7001
29844,2024-07-09,Muebles,Estantería,227,Tienda Física,Centro,95.62,178.36,0.2,3,286.86,7449
15835,2022-02-04,Tecnología,Mouse Logitech,580,Online,Centro,198.34,468.55,0.1,2,396.67,8758
16613,2024-02-22,Muebles,Mesa Reuniones,163,Online,Oeste,162.68,260.27,0.2,2,325.35,5267
55394,2022-09-08,Muebles,Estantería,236,Distribuidor,Este,607.22,559.48,0.0,3,1821.67,2062
73525,2022-03-27,Oficina,Bolígrafos,329,Online,Sur,9.56,25.33,0.0,3,28.68,7012
87905,2023-06-03,Oficina,Papel A4,512,Tienda Física,Centro,9.07,7.57,0.0,3,27.22,3823
75493,2022-01-12,Oficina,Calculadora,389,Tienda Física,Norte,11.28,38.09,0.15,2,22.55,8843
67163,2023-04-13,Oficina,Carpetas,787,Mayorista,Este,16.87,48.05,0.0,1,16.87,5797
69421,2022-11-23,Muebles,Estantería,881,Tienda Física,Norte,177.96,586.4,0.05,4,711.82,7326
20266,2024-02-19,Tecnología,Laptop Dell,600,Distribuidor,Este,105.73,548.74,0.15,5,528.66,9876
27240,2023-02-07,Oficina,Calculadora,453,Online,Este,9.66,26.66,0.2,2,19.33,3017
91111,2023-06-03,Tecnología,Mouse Logitech,982,Distribuidor,Norte,657.56,543.13,0.15,2,1315.11,9202
51876,2022-01-26,Muebles,Estantería,830,Online,Este,525.45,508.76,0.15,1,525.45,6202
42205,2022-01-14,Oficina,Papel A4,426,Tienda Física,Sur,9.9,28.56,0.2,1,9.9,9202
13639,2024-12-16,Muebles,Silla Ergonómica,489,Mayorista,Centro,558.1,478.05,0.0,1,558.1,4097
23848,2024-07-02,Tecnología,Teclado Mecánico,310,Online,Centro,488.58,793.07,0.2,4,1954.34,7449
41056,2024-09-11,Oficina,Papel A4,612,Mayorista,Este,33.5,52.31,0.0,4,134.0,4056
89870,2024-12-17,Oficina,Papel A4,796,Online,Este,7.84,18.96,0.0,4,31.38,1426
63946,2024-04-08,Oficina,Carpetas,780,Online,Este,24.18,71.71,0.2,1,-24.18,nan
98171,2022-08-27,Oficina,Calculadora,854,Online,Norte,31.7,78.69,0.0,3,95.11,8702
13550,2022-04-23,Oficina,Bolígrafos,971,Tienda Física,Norte,24.03,31.29,0.05,3,72.1,2954
49069,2023-07-30,Muebles,Estantería,591,Distribuidor,Este,325.24,543.89,0.1,1,325.24,7852
59016,2024-08-23,Oficina,Grapadora,791,Online,Sur,7.88,10.89,0.2,4,31.52,8770
17212,2022-12-20,Tecnología,Monitor LG,852,Online,Oeste,313.26,517.56,0.0,5,1566.31,8937
14497,2023-02-13,Tecnología,Webcam HD,903,Tienda Física,Centro,384.43,781.89,0.1,1,384.43,6002
54217,2023-05-07,Oficina,Papel A4,128,Mayorista,Norte,58.17,68.76,0.1,1,58.17,2228
38119,2022-03-02,Tecnología,Mouse Logitech,649,Online,Sur,202.15,680.15,0.15,5,1010.77,6187
77531,2022-12-19,Oficina,Carpetas,890,Tienda Física,Norte,14.35,26.29,0.05,5,71.74,8009
59116,2023-05-07,Oficina,Papel A4,184,Mayorista,Oeste,21.2,25.04,0.2,2,42.4,3017
72969,2024-09-20,Muebles,Estantería,380,Mayorista,Este,600.29,428.45,0.15,2,1200.58,1123
83594,2023-12-22,Muebles,Mesa Reuniones,934,Distribuidor,Norte,1201.74,587.93,0.0,2,2403.49,9537
15018,2023-12-13,Tecnología,Teclado Mecánico,947,Online,Este,291.31,740.2,0.2,3,873.92,8860
11158,2023-01-19,Tecnología,Laptop Dell,763,Online,Este,141.99,407.33,0.05,1,141.99,4305
81856,2022-04-18,Oficina,Bolígrafos,247,Distribuidor,Este,98.1,79.17,0.1,2,196.2,2456
24222,2023-04-15,Muebles,Mesa Reuniones,430,Mayorista,Centro,398.25,559.88,0.2,3,1194.75,8722
90813,2022-10-28,Oficina,Papel A4,476,Distribuidor,Oeste,22.26,67.13,0.0,3,66.79,8445
22756,2024-06-04,Muebles,Mesa Reuniones,502,Distribuidor,Sur,466.67,384.93,0.05,2,933.34,1151
24058,2022-07-24,Tecnología,Teclado Mecánico,688,Tienda Física,Sur,678.19,977.54,0.0,5,3390.94,7506
87978,2023-06-04,Tecnología,Mouse Logitech,920,Distribuidor,Norte,269.48,532.26,0.1,1,269.48,8939
60903,2024-08-18,Tecnología,Teclado Mecánico,362,Tienda Física,Este,394.94,818.06,0.1,5,1974.69,7554
26252,2023-05-01,Muebles,Archivador Metálico,885,Online,Norte,169.16,321.72,0.0,1,169.16,5158
86020,2023-11-14,Muebles,Escritorio Ejecutivo,493,Distribuidor,Centro,177.24,506.86,0.1,3,531.71,3315
36877,2022-07-19,Tecnología,Teclado Mecánico,971,Online,Sur,967.52,668.33,0.2,5,4837.6,8005
91387,2022-02-07,Oficina,Carpetas,518,Distribuidor,Norte,10.88,35.02,0.1,2,21.77,7996
19806,2023-12-09,Oficina,Papel A4,697,Online,Norte,21.82,49.39,0.1,2,43.63,4934
74950,2024-03-14,Tecnología,Teclado Mecánico,673,Tienda Física,Oeste,424.52,504.33,0.15,2,849.03,9641
88941,2022-03-18,Oficina,Papel A4,643,Mayorista,Oeste,30.33,56.16,0.05,5,151.64,1579
40779,2023-08-19,Tecnología,Monitor LG,548,Distribuidor,Oeste,797.5,631.82,0.15,4,3190.0,9436
93479,2024-11-07,Oficina,Papel A4,612,Mayorista,Norte,12.82,34.84,0.1,5,64.12,2258
18686,2023-02-20,Oficina,Carpetas,458,Online,Oeste,32.07,47.48,0.1,5,160.33,7326
